Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,27.09,27.36,26.51,27.0,877300,0.0,0.0
2017-01-04,27.06,27.41,26.83,27.31,738800,0.0,0.0
2017-01-05,27.21,27.405,26.65,26.9,728400,0.0,0.0
2017-01-06,26.86,27.16,26.8,26.88,598300,0.0,0.0
2017-01-09,26.89,27.09,26.48,26.91,654100,0.0,0.0
2017-01-10,26.96,27.06,26.54,26.86,504700,0.0,0.0
2017-01-11,26.75,26.98,26.09,26.43,928900,0.0,0.0
2017-01-12,26.32,26.35,25.64,26.12,620100,0.0,0.0
2017-01-13,26.3,26.5,26.24,26.33,339900,0.0,0.0
2017-01-17,26.03,26.15,25.51,25.88,499400,0.0,0.0
2017-01-18,26.07,26.2,25.88,26.0,424200,0.0,0.0
2017-01-19,25.98,26.1,25.69,25.96,491700,0.0,0.0
2017-01-20,25.88,26.22,25.72,26.21,640000,0.0,0.0
2017-01-23,26.1,26.86,26.04,26.54,982900,0.0,0.0
2017-01-24,26.68,27.02,26.33,26.92,657900,0.0,0.0
2017-01-25,27.16,27.7,26.94,27.48,659900,0.0,0.0
2017-01-26,27.4,27.74,27.24,27.51,850900,0.0,0.0
2017-01-27,27.62,27.79,26.81,26.89,1019200,0.0,0.0
2017-01-30,26.74,26.76,25.99,26.14,1095400,0.0,0.0
2017-01-31,25.89,26.94,25.89,26.76,1642800,0.0,0.0
2017-02-01,26.77,28.02,26.71,27.99,1212700,0.0,0.0
2017-02-02,27.89,27.98,27.45,27.89,683800,0.0,0.0
2017-02-03,27.95,28.25,27.77,28.19,632400,0.0,0.0
2017-02-06,27.97,28.32,27.9,27.98,714500,0.0,0.0
2017-02-07,29.29,30.22,28.29,28.36,1494000,0.0,0.0
2017-02-08,28.35,28.56,27.88,28.36,1124800,0.0,0.0
2017-02-09,28.35,28.98,28.35,28.66,712700,0.0,0.0
2017-02-10,28.71,29.285,28.36,29.25,708700,0.0,0.0
2017-02-13,29.46,29.57,28.46,28.5,708100,0.0,0.0
2017-02-14,28.28,29.25,28.19,29.24,699700,0.0,0.0
2017-02-15,29.08,29.34,28.915,29.19,803900,0.0,0.0
2017-02-16,29.28,29.34,28.64,28.91,497900,0.0,0.0
2017-02-17,29.05,29.29,28.85,29.06,686600,0.0,0.0
2017-02-21,29.03,29.16,28.67,28.88,431200,0.0,0.0
2017-02-22,28.87,28.99,28.38,28.4,403400,0.0,0.0
2017-02-23,28.45,28.55,28.07,28.23,609600,0.0,0.0
2017-02-24,28.08,28.53,27.93,28.35,591100,0.0,0.0
2017-02-27,28.38,29.12,28.335,29.11,662900,0.0,0.0
2017-02-28,28.82,29.02,28.58,28.7,764900,0.0,0.0
2017-03-01,28.97,29.66,28.42,29.5,845800,0.0,0.0
2017-03-02,29.53,29.67,29.03,29.05,491500,0.0,0.0
2017-03-03,29.07,29.4,28.83,28.93,467100,0.0,0.0
2017-03-06,28.79,29.06,28.6,28.99,379800,0.0,0.0
2017-03-07,28.64,29.16,28.64,29.03,659900,0.0,0.0
2017-03-08,29.17,29.36,28.67,28.74,390600,0.0,0.0
2017-03-09,28.78,28.905,28.43,28.5,449400,0.0,0.0
2017-03-10,28.41,28.7,28.27,28.38,448000,0.0,0.0
2017-03-13,28.32,29.02,28.28,28.93,683000,0.0,0.0
2017-03-14,28.72,28.82,28.36,28.65,704200,0.0,0.0
2017-03-15,28.75,29.1,28.64,28.96,774200,0.0,0.0
2017-03-16,29.06,29.06,28.42,28.55,643500,0.0,0.0
2017-03-17,28.72,29.05,28.27,28.73,1166900,0.0,0.0
2017-03-20,28.76,28.96,28.26,28.45,307800,0.0,0.0
2017-03-21,28.58,28.64,27.74,27.97,722900,0.0,0.0
2017-03-22,28.06,28.32,27.7,28.16,382200,0.0,0.0
2017-03-23,28.07,28.43,27.92,27.97,340600,0.0,0.0
2017-03-24,27.96,28.27,27.94,28.03,324600,0.0,0.0
2017-03-27,27.7,28.59,27.7,28.45,1233200,0.0,0.0
2017-03-28,28.33,28.66,28.2,28.51,481900,0.0,0.0
2017-03-29,28.48,28.73,28.32,28.61,370800,0.0,0.0
2017-03-30,28.61,28.77,28.422,28.51,458300,0.0,0.0
2017-03-31,28.54,28.57,28.22,28.32,510400,0.0,0.0
2017-04-03,28.41,28.65,28.15,28.29,518900,0.0,0.0
2017-04-04,28.26,28.43,27.65,27.86,516700,0.0,0.0
2017-04-05,27.93,28.36,27.68,27.76,498200,0.0,0.0
2017-04-06,27.8,28.21,27.7,28.19,516100,0.0,0.0
2017-04-07,27.96,28.62,27.84,28.4,572000,0.0,0.0
2017-04-10,28.43,28.82,28.26,28.31,274600,0.0,0.0
2017-04-11,28.19,28.5,28.12,28.48,336400,0.0,0.0
2017-04-12,28.37,28.45,27.86,27.97,329000,0.0,0.0
2017-04-13,27.93,28.05,27.48,27.66,342200,0.0,0.0
2017-04-17,27.8,28.15,27.56,28.09,474600,0.0,0.0
2017-04-18,27.88,27.97,27.63,27.79,383600,0.0,0.0
2017-04-19,27.89,28.235,27.8,27.9,498900,0.0,0.0
2017-04-20,28.02,28.42,27.92,28.29,386900,0.0,0.0
2017-04-21,28.19,28.32,27.95,28.08,410600,0.0,0.0
2017-04-24,28.59,28.84,28.41,28.46,415700,0.0,0.0
2017-04-25,28.72,29.21,28.49,29.0,483600,0.0,0.0
2017-04-26,29.04,29.615,29.0,29.28,579100,0.0,0.0
2017-04-27,29.39,29.78,29.12,29.51,570900,0.0,0.0
2017-04-28,29.6,29.66,29.27,29.28,709800,0.0,0.0
2017-05-01,29.38,29.7,29.35,29.5,1120700,0.0,0.0
2017-05-02,29.62,29.69,29.25,29.31,617800,0.0,0.0
2017-05-03,29.17,29.195,28.92,29.0,1183200,0.0,0.0
2017-05-04,29.17,29.33,28.76,28.93,645800,0.0,0.0
2017-05-05,29.55,34.81,29.55,31.75,3301300,0.0,0.0
2017-05-08,31.77,31.8,31.22,31.4,1010400,0.0,0.0
2017-05-09,31.49,32.07,31.365,31.51,1053500,0.0,0.0
2017-05-10,31.48,32.1,31.01,31.81,851000,0.0,0.0
2017-05-11,31.73,32.18,31.61,32.0,985400,0.0,0.0
2017-05-12,31.96,32.29,31.878,32.23,540000,0.0,0.0
2017-05-15,33.02,33.705,32.5,33.65,1101800,0.0,0.0
2017-05-16,33.69,34.44,33.61,34.26,1179300,0.0,0.0
2017-05-17,34.26,34.26,33.39,33.52,1181200,0.0,0.0
2017-05-18,33.51,33.67,33.289,33.36,847600,0.0,0.0
2017-05-19,33.35,34.08,33.35,33.82,583000,0.0,0.0
2017-05-22,33.91,34.59,33.83,34.17,644200,0.0,0.0
2017-05-23,34.31,34.93,34.12,34.68,872400,0.0,0.0
2017-05-24,34.83,35.76,34.69,35.63,1148100,0.0,0.0
2017-05-25,35.86,35.99,35.06,35.39,952500,0.0,0.0
2017-05-26,35.4,36.2,35.3,35.99,617900,0.0,0.0
2017-05-30,35.94,36.07,35.25,35.51,691500,0.0,0.0
2017-05-31,35.68,35.91,35.08,35.53,1013500,0.0,0.0
2017-06-01,35.54,36.4,35.48,36.38,867900,0.0,0.0
2017-06-02,36.5,37.71,36.5,37.12,733600,0.0,0.0
