Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,42.283,42.366,42.051,42.066,532400,0.0,0.0
2017-01-04,42.231,42.246,41.445,41.52,1546900,0.0,0.0
2017-01-05,41.43,41.55,41.086,41.176,955300,0.0,0.0
2017-01-06,41.108,41.108,40.824,40.929,1423100,0.0,0.0
2017-01-09,40.944,40.944,40.674,40.674,916800,0.0,0.0
2017-01-10,40.674,40.921,40.607,40.854,1010800,0.0,0.0
2017-01-11,40.839,41.535,40.839,41.236,850900,0.0,0.0
2017-01-12,41.153,41.221,40.846,41.131,374900,0.0,0.0
2017-01-13,41.131,41.37,41.048,41.176,320900,0.0,0.0
2017-01-17,41.198,41.46,41.123,41.333,709200,0.0,0.0
2017-01-18,41.303,41.625,41.198,41.61,657200,0.0,0.0
2017-01-19,41.917,41.917,41.483,41.572,558600,0.0,0.0
2017-01-20,41.61,41.737,41.55,41.55,624600,0.0,0.0
2017-01-23,41.513,41.527,41.325,41.393,345100,0.0,0.0
2017-01-24,41.363,41.587,41.273,41.28,801700,0.0,0.0
2017-01-25,41.243,41.355,40.771,40.899,533400,0.0,0.0
2017-01-26,40.794,41.34,40.794,41.056,1060000,0.0,0.0
2017-01-27,41.131,41.251,40.652,40.996,394200,0.0,0.0
2017-01-30,40.906,41.033,40.779,40.861,370600,0.0,0.0
2017-01-31,40.749,40.974,40.734,40.936,663000,0.0,0.0
2017-02-01,40.861,41.161,40.809,40.951,404700,0.0,0.0
2017-02-02,41.071,41.078,40.689,40.869,674400,0.0,0.0
2017-02-03,40.929,41.011,40.727,40.929,537600,0.0,0.0
2017-02-06,40.884,41.018,40.644,40.719,324100,0.0,0.0
2017-02-07,40.712,40.764,40.285,40.315,468700,0.0,0.0
2017-02-08,40.307,40.405,40.105,40.322,512100,0.0,0.0
2017-02-09,40.21,40.21,39.858,40.128,515400,0.0,0.0
2017-02-10,40.098,40.188,40.008,40.105,678600,0.0,0.0
2017-02-13,40.06,40.158,39.873,39.933,589300,0.0,0.0
2017-02-14,39.873,39.933,39.499,39.671,893800,0.0,0.0
2017-02-15,39.671,39.671,39.297,39.327,899800,0.0,0.0
2017-02-16,39.312,39.566,39.042,39.492,1135500,0.0,0.0
2017-02-17,39.574,39.791,39.274,39.709,674500,0.0,0.0
2017-02-21,39.709,39.933,39.544,39.933,371800,0.0,0.0
2017-02-22,39.918,40.008,39.746,39.858,459000,0.0,0.0
2017-02-23,39.896,39.948,39.484,39.671,724400,0.0,0.0
2017-02-24,39.724,40.465,39.671,40.27,748200,0.0,0.0
2017-02-27,40.18,40.397,40.023,40.382,285400,0.0,0.0
2017-02-28,40.285,40.622,40.285,40.405,598500,0.0,0.0
2017-03-01,40.42,40.936,40.405,40.839,693900,0.0,0.0
2017-03-02,40.697,41.153,40.697,40.929,798100,0.0,0.0
2017-03-03,40.891,41.213,40.824,41.146,658300,0.0,0.0
2017-03-06,40.996,41.228,40.989,41.086,803300,0.0,0.0
2017-03-07,41.305,41.327,41.048,41.078,583200,0.4,0.0
2017-03-08,40.852,40.995,40.754,40.89,400900,0.0,0.0
2017-03-09,40.897,41.154,40.852,40.875,328500,0.0,0.0
2017-03-10,40.995,41.184,40.867,41.131,412300,0.0,0.0
2017-03-13,41.093,41.222,41.093,41.131,468900,0.0,0.0
2017-03-14,41.116,41.44,41.063,41.154,788400,0.0,0.0
2017-03-15,41.184,41.463,41.101,41.289,971500,0.0,0.0
2017-03-16,41.335,41.44,41.116,41.207,794500,0.0,0.0
2017-03-17,41.207,41.47,41.139,41.342,1017100,0.0,0.0
2017-03-20,41.357,41.403,41.184,41.395,645600,0.0,0.0
2017-03-21,41.365,41.425,40.837,41.282,658200,0.0,0.0
2017-03-22,41.252,41.463,41.108,41.282,423800,0.0,0.0
2017-03-23,41.207,41.395,41.041,41.161,528400,0.0,0.0
2017-03-24,41.176,41.35,40.814,40.965,504100,0.0,0.0
2017-03-27,40.965,41.161,40.332,40.731,805000,0.0,0.0
2017-03-28,40.581,40.882,40.272,40.845,739400,0.0,0.0
2017-03-29,40.814,41.078,40.626,41.078,642700,0.0,0.0
2017-03-30,41.041,41.124,40.641,40.988,718300,0.0,0.0
2017-03-31,40.905,41.071,40.86,40.92,716600,0.0,0.0
