Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,6.112,6.132,5.98,6.024,12206000,0.0,0.0
2017-01-04,6.03,6.108,6.016,6.084,11611000,0.0,0.0
2017-01-05,6.052,6.184,6.046,6.166,15568500,0.0,0.0
2017-01-06,6.16,6.244,6.104,6.202,9631000,0.0,0.0
2017-01-09,6.2,6.298,6.162,6.262,10128500,0.0,0.0
2017-01-10,6.292,6.412,6.29,6.392,9225500,0.0,0.0
2017-01-11,6.45,6.578,6.378,6.424,11804500,0.0,0.0
2017-01-12,6.41,6.434,6.288,6.37,6688000,0.0,0.0
2017-01-13,6.366,6.466,6.362,6.458,3716500,0.0,0.0
2017-01-17,6.458,6.494,6.284,6.34,38616500,0.0,0.0
2017-01-18,6.33,6.392,6.272,6.37,10609500,0.0,0.0
2017-01-19,6.466,6.548,6.444,6.47,27218500,0.0,0.0
2017-01-20,6.47,6.518,6.436,6.464,13260000,0.0,0.0
2017-01-23,6.46,6.492,6.372,6.438,13849500,0.0,0.0
2017-01-24,6.45,6.54,6.436,6.532,7321000,0.0,0.0
2017-01-25,6.594,6.672,6.52,6.562,6715500,0.0,0.0
2017-01-26,6.594,6.626,6.47,6.514,7314000,0.0,0.0
2017-01-27,6.51,6.57,6.454,6.556,6039500,0.0,0.0
2017-01-30,6.546,6.568,6.41,6.562,7997500,0.0,0.0
2017-01-31,6.568,6.678,6.514,6.652,11036500,0.0,0.0
2017-02-01,6.652,6.686,6.544,6.62,8922500,0.0,0.0
2017-02-02,6.606,6.698,6.556,6.636,22172000,0.0,0.0
2017-02-03,7.43,7.602,7.22,7.544,63531000,0.0,0.0
2017-02-06,7.532,7.666,7.36,7.566,18814500,0.0,0.0
2017-02-07,7.6,7.648,7.514,7.552,9670500,0.0,0.0
2017-02-08,7.54,7.572,7.442,7.484,13122500,0.0,0.0
2017-02-09,7.476,7.648,7.456,7.598,7756000,0.0,0.0
2017-02-10,7.55,7.626,7.518,7.536,7607500,0.0,0.0
2017-02-13,7.544,7.602,7.51,7.56,6768500,0.0,0.0
2017-02-14,7.54,7.592,7.482,7.554,14307500,0.0,0.0
2017-02-15,7.562,7.614,7.514,7.59,5842000,0.0,0.0
2017-02-16,7.584,7.618,7.406,7.448,7809500,0.0,0.0
2017-02-17,7.41,7.516,7.38,7.492,6249500,0.0,0.0
2017-02-21,7.452,7.552,7.442,7.476,6341500,0.0,0.0
2017-02-22,7.46,7.528,7.44,7.448,5469000,0.0,0.0
